Waktu,Asal,Maskapai,Penerbangan,Terminal_Pintu,Keterangan,Bagasi,Radar_Penerbangan
20:30 26 July,KNO Kualanamu,JT Lion Airlines,JT 0385,1B -,,B3,(#)
20:30 26 July,KNO Kualanamu,ID Batik Air,ID 6891,2E -,,10,(#)
20:30 26 July,ICN Seoul,KE Korean Airlines,KE 0627,3U -,,U6,(#)
20:35 26 July,HKG Hong Kong,CI China Airlines,CI 0671,3U -,,U3,(#)
20:35 26 July,SRG Semarang,GA Garuda Indonesia,GA 0247,3U -,,U7,(#)
20:40 26 July,PKU Pekanbaru,JT Lion Airlines,JT 0295,1B -,,B5,(#)
20:40 26 July,SIN Singapore,JT Lion Airlines,JT 0151,2F -,,14,(#)
20:40 26 July,KUL Kuala Lumpur,JT Lion Airlines,JT 0285,2F -,,12,(#)
20:45 26 July,SUB Surabaya,SJ Sriwijaya Airlines,SJ 0267,2D -,,3,(#)
20:45 26 July,BTH Batam,GA Garuda Indonesia,GA 0159,3U -,,U9,(#)
20:45 26 July,SUB Surabaya,QG Citilink Indonesia,QG 0721,1C -,,C4,(#)
20:45 26 July,PKU Pekanbaru,GA Garuda Indonesia,GA 0199,3U -,,U8,(#)
20:45 26 July,KUL Kuala Lumpur,AK Air Asia Benhard,AK 0353,2F -,,11,(#)
20:45 26 July,SOC Surakarta,SJ Sriwijaya Airlines,SJ 0215,2D -,,2,(#)
20:50 26 July,BKK Bangkok,GA Garuda Indonesia,GA 0869,3U -,,U8,(#)
20:50 26 July,UPG Makassar,JT Lion Airlines,JT 0875,1A -,,A1,(#)
20:50 26 July,SUB Surabaya,ID Batik Air,ID 7579,2E -,,8,(#)
20:50 26 July,TKG Bandar Lampung,SJ Sriwijaya Airlines,SJ 0087,2D -,,4,(#)
20:55 26 July,PDG Padang,QG Citilink Indonesia,QG 0955,1C -,,C2,(#)
20:55 26 July,BDJ Banjarmasin,QG Citilink Indonesia,QG 0491,1C -,,C5,(#)
20:55 26 July,SIN Singapore,3K Jetstar Airways,3K 0205,2F -,,14,(#)
20:55 26 July,BPN Balikpapan,GA Garuda Indonesia,GA 0575,3U -,,U10,(#)
20:55 26 July,SIN Singapore,AY Finnair,AY 6409,-,,14,(#)
20:55 26 July,BPN Balikpapan,EY Etihad Airways,EY 8140,-,,U10,(#)
20:55 26 July,BPN Balikpapan,KL KLM Royal Deutch Airlines,KL 4072,-,,U10,(#)
20:55 26 July,SIN Singapore,QF Qantas Airways,QF 5205,-,,14,(#)
21:00 26 July,BTJ Aceh,JT Lion Airlines,JT 0307,1B -,,B1,(#)
21:00 26 July,KNO Kualanamu,GA Garuda Indonesia,GA 0193,3U -,,U7,(#)
21:00 26 July,HGR Hagerstown,FS Airfast Indonesia,FS 0001,1C -,,C2,(#)
21:00 26 July,UPG Makassar,ID Batik Air,ID 6231,2E -,,9,(#)
21:00 26 July,KNO Kualanamu,EY Etihad Airways,EY 8172,-,,U7,(#)
21:00 26 July,KNO Kualanamu,SJ Sriwijaya Airlines,SJ 0017,2D -,,1,(#)
21:00 26 July,BTJ Aceh,JT Lion Airlines,JT 0305,1B -,,B2,(#)
21:00 26 July,DJB Jambi,QG Citilink Indonesia,QG 0967,1C -,,C1,(#)
21:00 26 July,TKG Bandar Lampung,IN Nam Air,IN 0099,2D -,,1,(#)
21:05 26 July,BPN Balikpapan,SJ Sriwijaya Airlines,SJ 0169,2D -,,2,(#)
21:10 26 July,SUB Surabaya,KL KLM Royal Deutch Airlines,KL 4042,-,,U8,(#)
21:10 26 July,SUB Surabaya,EY Etihad Airways,EY 8164,-,,U8,(#)
21:10 26 July,TRK Tarakan,JT Lion Airlines,JT 0627,1A -,,A2,(#)
21:10 26 July,JOG Yogyakarta,SJ Sriwijaya Airlines,SJ 0235,2D -,,3,(#)
21:10 26 July,HGR Hagerstown,GA Garuda Indonesia,GA 0004,HG -,,,(#)
21:10 26 July,SUB Surabaya,GA Garuda Indonesia,GA 0327,3U -,,U8,(#)
21:10 26 July,TRK Tarakan,JT Lion Airlines,JT 0627,1A -,,A2,(#)
21:10 26 July,HGR Hagerstown,GA Garuda Indonesia,GA 0004,HG -,,,(#)
21:15 26 July,DOH Doha,QR Qatar Airways,QR 0954V,3U -,,U5,(#)
21:15 26 July,SIN Singapore,EY Etihad Airways,EY 8158,-,,U6,(#)
21:15 26 July,CAN Guangzhou,MF Xiamen Airline,MF 9055,-,,U4,(#)
21:15 26 July,SIN Singapore,PG Bangkok Airways Public Company Limeted,PG 4309,-,,U6,(#)
21:15 26 July,SIN Singapore,GA Garuda Indonesia,GA 0839,3U -,,U6,(#)
21:15 26 July,DOH Doha,QR Qatar Airways,QR 0954,3U -,,U5,(#)
21:15 26 July,DMK Bangkok Don Mueang,QZ Air Asia Indonesia,QZ 0257,2F -,,13,(#)
21:15 26 July,CAN Guangzhou,GA Garuda Indonesia,GA 9989,-,,U4,(#)
21:15 26 July,SIN Singapore,AF Air France,AF 3927,-,,U6,(#)
21:15 26 July,CAN Guangzhou,CZ China Southern 388,CZ 0387,3U -,,U4,(#)
21:20 26 July,BPN Balikpapan,ID Batik Air,ID 6255,2E -,,8,(#)
21:20 26 July,SRG Semarang,QG Citilink Indonesia,QG 0793,1C -,,C3,(#)
21:20 26 July,HKG Hong Kong,GA Garuda Indonesia,GA 0863,3U -,,U2,(#)
21:20 26 July,MDC Manado,SJ Sriwijaya Airlines,SJ 0603,2D -,,4,(#)
21:20 26 July,UPG Makassar,GA Garuda Indonesia,GA 0613,3U -,,U9,(#)
21:20 26 July,PLM Palembang,QG Citilink Indonesia,QG 0981,1C -,,C4,(#)
21:20 26 July,UPG Makassar,EY Etihad Airways,EY 8148,-,,U9,(#)
21:20 26 July,JOG Yogyakarta,JT Lion Airlines,JT 0545,1A -,,A3,(#)
21:20 26 July,MDC Manado,SJ Sriwijaya Airlines,SJ 0603N,2D -,,4,(#)
21:20 26 July,DPS Bali,EY Etihad Airways,EY 8192,-,,U10,(#)
21:20 26 July,DPS Bali,GA Garuda Indonesia,GA 0423,3U -,,U10,(#)
21:20 26 July,DPS Bali,AM aero mexico,AM 7406,-,,U10,(#)
21:25 26 July,DPS Bali,SJ Sriwijaya Airlines,SJ 0261,2D -,,1,(#)
21:25 26 July,SUB Surabaya,QG Citilink Indonesia,QG 0723,1C -,,C1,(#)
21:25 26 July,DPS Bali,QG Citilink Indonesia,QG 0687,1C -,,C1,(#)
21:30 26 July,PER Perth,GA Garuda Indonesia,GA 0725,3U -,,U1,(#)
21:30 26 July,PER Perth,8M Myanmar Airways,8M 4725,-,,U1,(#)
21:30 26 July,JOG Yogyakarta,ID Batik Air,ID 6367,2E -,,9,(#)
21:30 26 July,SUB Surabaya,ID Batik Air,ID 6309,2E -,,8,(#)
21:30 26 July,KNO Kualanamu,JT Lion Airlines,JT 0309,1B -,,B2,(#)
21:30 26 July,PKU Pekanbaru,ID Batik Air,ID 6853,2E -,,10,(#)
21:30 26 July,SOC Surakarta,JT Lion Airlines,JT 0533,1A -,,A3,(#)
21:30 26 July,PER Perth,KL KLM Royal Deutch Airlines,KL 4045,-,,U1,(#)
21:30 26 July,PER Perth,EY Etihad Airways,EY 8162,-,,U1,(#)
21:35 26 July,KUL Kuala Lumpur,OD MALINDO AIRLINES,OD 0318,2F -,,12,(#)
21:40 26 July,SUB Surabaya,SJ Sriwijaya Airlines,SJ 0255,2D -,,1,(#)
21:40 26 July,PNK Pontianak,JT Lion Airlines,JT 0717,1A -,,A1,(#)
21:40 26 July,DPS Bali,ID Batik Air,ID 6515,2E -,,9,(#)
21:40 26 July,PNK Pontianak,QG Citilink Indonesia,QG 0411,1C -,,C5,(#)
21:45 26 July,DPS Bali,GA Garuda Indonesia,GA 0413,3U -,,U12,(#)
21:45 26 July,JOG Yogyakarta,GA Garuda Indonesia,GA 0217,3U -,,U11,(#)
21:45 26 July,DPS Bali,QG Citilink Indonesia,QG 0689,1C -,,C1,(#)
21:50 26 July,UPG Makassar,ID Batik Air,ID 6183,2E -,,10,(#)
21:50 26 July,PLM Palembang,SJ Sriwijaya Airlines,SJ 0081,2D -,,2,(#)
21:50 26 July,SUB Surabaya,JT Lion Airlines,JT 0889,1A -,,A4,(#)
21:55 26 July,SUB Surabaya,JT Lion Airlines,JT 0697,1A -,,A5,(#)
21:55 26 July,KNO Kualanamu,QG Citilink Indonesia,QG 0919,1C -,,C2,(#)
21:55 26 July,SUB Surabaya,QG Citilink Indonesia,QG 0725,1C -,,C3,(#)
22:00 26 July,PDG Padang,JT Lion Airlines,JT 0255,1B -,,B3,(#)
22:00 26 July,TKG Bandar Lampung,SJ Sriwijaya Airlines,SJ 0861I,2D -,,3,(#)
22:10 26 July,DPS Bali,QZ Air Asia Indonesia,QZ 7533,2E -,,6,(#)
22:10 26 July,PLM Palembang,JT Lion Airlines,JT 0843,1B -,,B3,(#)
22:10 26 July,DXB Dubai,FZ Flydubai,FZ 6358,-,,U2,(#)
22:10 26 July,DXB Dubai,EK Emirates,EK 0358,3U -,,U2,(#)
22:10 26 July,PKU Pekanbaru,QG Citilink Indonesia,QG 0939,1C -,,C5,(#)
22:15 26 July,DPS Bali,WY Oman Airlines,WY 5425,-,,U10,(#)
22:15 26 July,MED Madinah,SV Saudi Arabian Airlines,SV 4515I,2D -,,,(#)
22:15 26 July,ICN Seoul,OZ Asiana Airlines,OZ 0761,3U -,,U3,(#)
22:15 26 July,TKG Bandar Lampung,SJ Sriwijaya Airlines,SJ 0863I,2D -,,4,(#)
22:15 26 July,DPS Bali,GA Garuda Indonesia,GA 0425,3U -,,U10,(#)
22:15 26 July,KNO Kualanamu,QG Citilink Indonesia,QG 0883,1C -,,C4,(#)
22:20 26 July,SIN Singapore,JT Lion Airlines,JT 0159,2F -,,12,(#)
22:25 26 July,KNO Kualanamu,ID Batik Air,ID 6887,2E -,,8,(#)
22:30 26 July,SRG Semarang,2Y My indo,2Y 0205,1A -,,,(#)
22:30 26 July,XMN Xiamen,GA Garuda Indonesia,GA 9728,3U -,,U5,(#)
22:30 26 July,PVG Shanghai,MU China Eastern,MU 5069,3U -,,U4,(#)
22:30 26 July,XMN Xiamen,MF Xiamen Airline,MF 0867,3U -,,U4,(#)
22:30 26 July,XMN Xiamen,CZ China Southern 388,CZ 7427,3U -,,U5,(#)
22:35 26 July,DMK Bangkok Don Mueang,SL THAI LION AIR,SL 0118,2F -,,14,(#)
22:40 26 July,SIN Singapore,SQ Singapore Airlines,SQ 0968,3U -,,U1,(#)
22:40 26 July,AUH Abu Dhabi,XY National Air Service,XY 3472,-,,U6,(#)
22:40 26 July,AUH Abu Dhabi,GA Garuda Indonesia,GA 9044,-,,U6,(#)
22:40 26 July,AUH Abu Dhabi,EY Etihad Airways,EY 0472,3U -,,U6,(#)
22:40 26 July,AUH Abu Dhabi,AZ Alitalia,AZ 5718,-,,U6,(#)
22:40 26 July,SIN Singapore,VA Virgin Australia Airlines,VA 5634,-,,U1,(#)
22:45 26 July,FOC Fuzhou,GA Garuda Indonesia,GA 9732,-,,U2,(#)
22:45 26 July,SIN Singapore,QZ Air Asia Indonesia,QZ 0269,2F -,,13,(#)
22:45 26 July,FOC Fuzhou,MF Xiamen Airline,MF 0821,3U -,,U2,(#)
22:45 26 July,FOC Fuzhou,CZ China Southern 388,CZ 7445,-,,U2,(#)
22:50 26 July,KNO Kualanamu,QG Citilink Indonesia,QG 0921,1C -,,C1,(#)
22:50 26 July,HKG Hong Kong,BA British  Airlines,BA 4575,-,,U3,(#)
22:50 26 July,SUB Surabaya,QG Citilink Indonesia,QG 0737,1C -,,C5,(#)
22:50 26 July,UPG Makassar,QG Citilink Indonesia,QG 0427,1C -,,C2,(#)
22:50 26 July,HKG Hong Kong,AA AMERICAN AIRLINE,AA 8917,-,,U3,(#)
22:50 26 July,DPS Bali,ID Batik Air,ID 6519,2E -,,9,(#)
22:50 26 July,HKG Hong Kong,CX Cathay Pacific Airways,CX 0797,3U -,,U3,(#)
22:55 26 July,PDG Padang,GA Garuda Indonesia,GA 0169,3U -,,U12,(#)
22:55 26 July,PDG Padang,EY Etihad Airways,EY 8173,-,,U12,(#)
23:00 26 July,TTE Ternate,2Y My indo,2Y 0621,1A -,,,(#)
23:00 26 July,SIN Singapore,VN Vietnam Airlines,VN 3969,-,,U5,(#)
23:00 26 July,SIN Singapore,GA Garuda Indonesia,GA 0847,3U -,,U5,(#)
23:00 26 July,SIN Singapore,9W Jet Airways india,9W 4108,-,,U5,(#)
23:00 26 July,SZX,CZ China Southern 388,CZ 8353,3U -,,U4,(#)
23:00 26 July,DPS Bali,GA Garuda Indonesia,GA 0405,3U -,,U7,(#)
23:05 26 July,KUL Kuala Lumpur,GA Garuda Indonesia,GA 9277,-,,U6,(#)
23:05 26 July,KUL Kuala Lumpur,QR Qatar Airways,QR 5004,-,,U6,(#)
23:05 26 July,KUL Kuala Lumpur,FY Firefly Airline,FY 7393,-,,U6,(#)
23:05 26 July,KUL Kuala Lumpur,MH Malaysian Airlines,MH 0727,3U -,,U6,(#)
23:05 26 July,KUL Kuala Lumpur,MH Malaysian Airlines,MH 0727,3U -,,U6,(#)
23:10 26 July,SUB Surabaya,JT Lion Airlines,JT 0595,1A -,,A2,(#)
23:10 26 July,SIN Singapore,ID Batik Air,ID 7158,2F -,,12,(#)
23:10 26 July,DPS Bali,QG Citilink Indonesia,QG 0691,1C -,,C1,(#)
23:15 26 July,KUL Kuala Lumpur,QZ Air Asia Indonesia,QZ 0207,2F -,,11,(#)
23:25 26 July,SUB Surabaya,JT Lion Airlines,JT 0821,1A -,,A2,(#)
23:25 26 July,MNL Manila,5J Cebu Pacific Air,5J 0759,2F -,,14,(#)
23:35 26 July,DPS Bali,QZ Air Asia Indonesia,QZ 7519,2E -,,7,(#)
23:50 26 July,NRT Tokyo,NH All Nippon,NH 0835,3U -,,U1,(#)
23:50 26 July,NRT Tokyo,AA AMERICAN AIRLINE,AA 8499,-,,U2,(#)
23:50 26 July,NRT Tokyo,UA UNITED AIRLINES,UA 7915,-,,U1,(#)
23:50 26 July,NRT Tokyo,JL Japan Airlines,JL 0729,3U -,,U2,(#)
23:50 26 July,NRT Tokyo,HA HAWAIIAN AIRLINES,HA 5380,-,,U2,(#)
23:50 26 July,NRT Tokyo,GA Garuda Indonesia,GA 9331,-,,U1,(#)
23:50 26 July,NRT Tokyo,GA Garuda Indonesia,GA 9151,-,,U2,(#)
23:55 26 July,MNL Manila,GA Garuda Indonesia,GA 9987,3U -,,U3,(#)
23:55 26 July,MNL Manila,PR Philipines Airlines,PR 0535,3U -,,U3,(#)
